Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Pch_Haswell,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15
2024-04-17_18:53:03,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,42.9,42.9,69.0,1299.3,800.0,1900.0,1900.0,1800.0,800.0,1558.7,1800.0,800.0,1857.3,800.0,800.0,1800.0,1800.0,2600.0,1700.0,1305.0,26.7,21.3,13.4,28.5,19.1,17.2,43.9,3.4,22.2,7.3,41.2,5.4,22.2,44.4,53.7,54.9,30.2
2024-04-17_18:53:05,50.0,50.0,50.0,51.0,51.0,51.0,51.0,50.0,50.0,42.9,42.9,69.5,1442.7,800.0,2300.0,800.0,800.0,2500.0,900.0,1200.0,800.0,800.0,1995.3,800.0,1995.3,1600.0,2600.0,1197.2,1995.3,31.9,18.3,16.3,23.0,15.3,19.8,38.5,31.8,23.1,24.0,26.0,19.7,81.9,38.5,53.9,23.5,54.1
2024-04-17_18:53:07,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,42.9,42.9,68.5,817.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1076.8,800.0,4.9,3.5,2.5,4.9,2.0,5.4,2.0,3.4,3.9,2.5,4.9,3.4,7.8,4.9,3.0,7.8,16.8
2024-04-17_18:53:10,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,43.9,43.9,69.0,1029.7,1004.9,800.0,800.0,2445.5,800.0,800.0,800.0,1385.0,800.0,800.0,800.0,900.0,800.0,800.0,1396.7,1339.5,11.2,15.3,2.0,9.9,49.0,13.2,3.5,4.0,10.7,2.5,1.0,3.4,7.4,15.7,2.0,29.1,9.2
2024-04-17_18:53:12,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,42.9,42.9,68.5,851.2,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1619.5,4.9,6.0,7.4,3.0,10.8,5.4,3.4,3.9,4.4,1.5,1.0,9.0,3.4,6.4,1.0,7.4,5.4
2024-04-17_18:53:14,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,857.5,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1100.0,800.0,800.0,1420.4,1.8,0.0,1.0,0.0,0.0,0.5,1.0,2.0,1.0,0.5,0.0,0.5,12.4,5.9,0.0,0.0,2.0
2024-04-17_18:53:16,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,968.4,800.0,1700.0,1134.7,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1359.5,800.0,1.7,0.0,4.9,1.5,0.5,2.0,1.0,0.5,0.0,1.5,0.5,5.9,1.5,2.0,2.9,1.5,2.0
2024-04-17_18:53:18,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,809.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,949.7,800.0,2.8,1.0,2.0,1.0,1.5,3.9,1.0,1.9,1.5,0.0,0.5,9.0,12.8,2.4,1.5,3.4,1.0
2024-04-17_18:53:20,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,827.5,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1239.5,800.0,1.5,1.0,1.0,0.0,1.0,5.9,1.5,1.5,0.5,0.5,0.0,4.9,1.0,0.0,0.0,3.0,2.4
2024-04-17_18:53:22,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,813.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1013.7,800.0,3.3,11.4,2.5,0.5,0.5,9.9,1.0,0.5,1.0,1.0,2.5,2.0,4.9,1.5,2.5,12.2,0.5
